record_id,pmid,doi,first_author,year,journal,disease,comparison,comparison_class,biofluid,marker_type,marker,cohort_stage,n_cases,n_controls,auc,auc_ci_low,auc_ci_high,sensitivity,specificity,method,eligible_primary_pool,exclusion_reason,note,verbatim_quote,source
E056,37483339,10.3389/fnins.2023.1145923,Aguilar MA,2023,Frontiers in Neuroscience,PD,Parkinson's disease vs age- and sex-matched controls,case_vs_healthy_control,serum_neuronal_EV,single_miRNA,miR-26b-5p,single,60,40,0.691,,,,,small RNA-seq + univariate logistic regression,yes,,"Added from the Scopus PD arm. Univariate logistic-regression AUC from Table 4; 60 PD vs 40 controls, neuronally enriched (CD171+) serum exosomes and microvesicles. Eight single-miRNA estimates come from this one cohort, so they are correlated and are not eight independent studies. The authors themselves caution: ""Due to a lack of a validation set, our logistic regression and random forest models should be considered exploratory to find biological insights instead of a clinically applicable prediction model.""","Table 4, ""Logistic regression AUC of 29 smRNAs"": hsa-miR-26b-5p — 0.691. Caption: ""Area under the curve (AUC) values were used to gauge the ability of the univariate LR models to discriminate between PD and control subjects using the 29 smRNA panel.""",PubMed Central open-access full text
E057,37483339,10.3389/fnins.2023.1145923,Aguilar MA,2023,Frontiers in Neuroscience,PD,Parkinson's disease vs age- and sex-matched controls,case_vs_healthy_control,serum_neuronal_EV,single_miRNA,miR-191-5p,single,60,40,0.637,,,,,small RNA-seq + univariate logistic regression,yes,,"Added from the Scopus PD arm. Univariate logistic-regression AUC from Table 4; 60 PD vs 40 controls, neuronally enriched (CD171+) serum exosomes and microvesicles. Eight single-miRNA estimates come from this one cohort, so they are correlated and are not eight independent studies. The authors themselves caution: ""Due to a lack of a validation set, our logistic regression and random forest models should be considered exploratory to find biological insights instead of a clinically applicable prediction model.""","Table 4, ""Logistic regression AUC of 29 smRNAs"": hsa-miR-191-5p — 0.637. Caption: ""Area under the curve (AUC) values were used to gauge the ability of the univariate LR models to discriminate between PD and control subjects using the 29 smRNA panel.""",PubMed Central open-access full text
E058,37483339,10.3389/fnins.2023.1145923,Aguilar MA,2023,Frontiers in Neuroscience,PD,Parkinson's disease vs age- and sex-matched controls,case_vs_healthy_control,serum_neuronal_EV,single_miRNA,miR-25-3p,single,60,40,0.635,,,,,small RNA-seq + univariate logistic regression,yes,,"Added from the Scopus PD arm. Univariate logistic-regression AUC from Table 4; 60 PD vs 40 controls, neuronally enriched (CD171+) serum exosomes and microvesicles. Eight single-miRNA estimates come from this one cohort, so they are correlated and are not eight independent studies. The authors themselves caution: ""Due to a lack of a validation set, our logistic regression and random forest models should be considered exploratory to find biological insights instead of a clinically applicable prediction model.""","Table 4, ""Logistic regression AUC of 29 smRNAs"": hsa-miR-25-3p — 0.635. Caption: ""Area under the curve (AUC) values were used to gauge the ability of the univariate LR models to discriminate between PD and control subjects using the 29 smRNA panel.""",PubMed Central open-access full text
E059,37483339,10.3389/fnins.2023.1145923,Aguilar MA,2023,Frontiers in Neuroscience,PD,Parkinson's disease vs age- and sex-matched controls,case_vs_healthy_control,serum_neuronal_EV,single_miRNA,miR-330,single,60,40,0.631,,,,,small RNA-seq + univariate logistic regression,yes,,"Added from the Scopus PD arm. Univariate logistic-regression AUC from Table 4; 60 PD vs 40 controls, neuronally enriched (CD171+) serum exosomes and microvesicles. Eight single-miRNA estimates come from this one cohort, so they are correlated and are not eight independent studies. The authors themselves caution: ""Due to a lack of a validation set, our logistic regression and random forest models should be considered exploratory to find biological insights instead of a clinically applicable prediction model."" Reported in the table as ""p-hsa-miR-330""; the ""p-"" prefix is the authors' annotation and is kept here only in this note.","Table 4, ""Logistic regression AUC of 29 smRNAs"": p-hsa-miR-330 — 0.631. Caption: ""Area under the curve (AUC) values were used to gauge the ability of the univariate LR models to discriminate between PD and control subjects using the 29 smRNA panel.""",PubMed Central open-access full text
E060,37483339,10.3389/fnins.2023.1145923,Aguilar MA,2023,Frontiers in Neuroscience,PD,Parkinson's disease vs age- and sex-matched controls,case_vs_healthy_control,serum_neuronal_EV,single_miRNA,miR-181a-5p,single,60,40,0.614,,,,,small RNA-seq + univariate logistic regression,yes,,"Added from the Scopus PD arm. Univariate logistic-regression AUC from Table 4; 60 PD vs 40 controls, neuronally enriched (CD171+) serum exosomes and microvesicles. Eight single-miRNA estimates come from this one cohort, so they are correlated and are not eight independent studies. The authors themselves caution: ""Due to a lack of a validation set, our logistic regression and random forest models should be considered exploratory to find biological insights instead of a clinically applicable prediction model.""","Table 4, ""Logistic regression AUC of 29 smRNAs"": hsa-miR-181a-5p — 0.614. Caption: ""Area under the curve (AUC) values were used to gauge the ability of the univariate LR models to discriminate between PD and control subjects using the 29 smRNA panel.""",PubMed Central open-access full text
E061,37483339,10.3389/fnins.2023.1145923,Aguilar MA,2023,Frontiers in Neuroscience,PD,Parkinson's disease vs age- and sex-matched controls,case_vs_healthy_control,serum_neuronal_EV,single_miRNA,miR-221-3p,single,60,40,0.561,,,,,small RNA-seq + univariate logistic regression,yes,,"Added from the Scopus PD arm. Univariate logistic-regression AUC from Table 4; 60 PD vs 40 controls, neuronally enriched (CD171+) serum exosomes and microvesicles. Eight single-miRNA estimates come from this one cohort, so they are correlated and are not eight independent studies. The authors themselves caution: ""Due to a lack of a validation set, our logistic regression and random forest models should be considered exploratory to find biological insights instead of a clinically applicable prediction model.""","Table 4, ""Logistic regression AUC of 29 smRNAs"": hsa-miR-221-3p — 0.561. Caption: ""Area under the curve (AUC) values were used to gauge the ability of the univariate LR models to discriminate between PD and control subjects using the 29 smRNA panel.""",PubMed Central open-access full text
E062,37483339,10.3389/fnins.2023.1145923,Aguilar MA,2023,Frontiers in Neuroscience,PD,Parkinson's disease vs age- and sex-matched controls,case_vs_healthy_control,serum_neuronal_EV,multi_miRNA_panel,29-smRNA random-forest panel,single,60,40,0.942,,,,,small RNA-seq + random forest,no,"mixed small-RNA panel: piRNAs and rRNA pseudogenes alongside miRNAs, not a miRNA-only panel","Added from the Scopus PD arm. Of the 29 small RNAs, only 8 are miRNAs (extracted as E054-E061); the rest are piRNAs, 5S/5.8S rRNA pseudogenes and a U6 pseudogene.",The RF model trained on the 29 smRNAs generated an AUC of 0.942.,PubMed Central open-access full text
E063,,10.3760/cma.j.issn.0254-9026.2024.01.005,Chen T,2024,Chinese Journal of Geriatrics,PD,Parkinson's disease vs healthy physical-examination controls,case_vs_healthy_control,serum,single_miRNA,miR-124,single,58,30,0.832,,,0.741,0.778,RT-qPCR,yes,,"Added from the Scopus PD arm. Chinese-language article, not indexed in MEDLINE; no open-access full text, so extraction rests on the Scopus abstract, which reports the ROC results in full.","The ROC analysis results demonstrated that miR-124 and miR-1976 had area under the curve(AUC)values of 0.832 and 0.797, respectively, in diagnosing PD.The corresponding cutoff values were 1.205 and 1.196, respectively.The sensitivity for miR-124 was 74.1%, while for miR-1976 it was 51.8%.The specificity for miR-124 was 77.8%, and for miR-1976 it was 90.1%.When both miR-124 and miR-1976 were combined in the diagnosis of PD, the AUC was 0.912, with a sensitivity of 76.4% and a specificity of 93.2%.",Scopus record (abstract)
E064,,10.3760/cma.j.issn.0254-9026.2024.01.005,Chen T,2024,Chinese Journal of Geriatrics,PD,Parkinson's disease vs healthy physical-examination controls,case_vs_healthy_control,serum,single_miRNA,miR-1976,single,58,30,0.797,,,0.518,0.901,RT-qPCR,yes,,"Added from the Scopus PD arm. Chinese-language article, not indexed in MEDLINE; no open-access full text, so extraction rests on the Scopus abstract, which reports the ROC results in full.","The ROC analysis results demonstrated that miR-124 and miR-1976 had area under the curve(AUC)values of 0.832 and 0.797, respectively, in diagnosing PD.The corresponding cutoff values were 1.205 and 1.196, respectively.The sensitivity for miR-124 was 74.1%, while for miR-1976 it was 51.8%.The specificity for miR-124 was 77.8%, and for miR-1976 it was 90.1%.When both miR-124 and miR-1976 were combined in the diagnosis of PD, the AUC was 0.912, with a sensitivity of 76.4% and a specificity of 93.2%.",Scopus record (abstract)
E065,,10.3760/cma.j.issn.0254-9026.2024.01.005,Chen T,2024,Chinese Journal of Geriatrics,PD,Parkinson's disease vs healthy physical-examination controls,case_vs_healthy_control,serum,multi_miRNA_panel,miR-124 + miR-1976,single,58,30,0.912,,,0.764,0.932,RT-qPCR,yes,,"Added from the Scopus PD arm. Chinese-language article, not indexed in MEDLINE; no open-access full text, so extraction rests on the Scopus abstract, which reports the ROC results in full.","The ROC analysis results demonstrated that miR-124 and miR-1976 had area under the curve(AUC)values of 0.832 and 0.797, respectively, in diagnosing PD.The corresponding cutoff values were 1.205 and 1.196, respectively.The sensitivity for miR-124 was 74.1%, while for miR-1976 it was 51.8%.The specificity for miR-124 was 77.8%, and for miR-1976 it was 90.1%.When both miR-124 and miR-1976 were combined in the diagnosis of PD, the AUC was 0.912, with a sensitivity of 76.4% and a specificity of 93.2%.",Scopus record (abstract)
E066,,10.3760/cma.j.cn371468-20200828-01692,Li J,2021,Chinese Journal of Behavioral Medicine and Brain Science,PD,elderly Parkinson's disease vs age- and sex-matched non-PD elderly,case_vs_healthy_control,serum,single_miRNA,miR-124,single,90,100,0.847,,,0.8667,0.7503,RT-qPCR,yes,,"Added from the Scopus PD arm. Chinese-language article, not indexed in MEDLINE; extraction rests on the Scopus abstract, which reports the ROC results in full. Reports miR-124 in PD serum independently of E063 (different centre, period and cohort size), so the two are separate studies, not a duplicate publication.","The results of ROC showed that the area under curve (AUC) of serum miR-124 and miR-494 in the diagnosis of PD were 0.847 and 0.760 respectively, the cutoff values were 0.901 and 1.126, respectively, the sensitivities were 86.67% and 61.11% respectively, and the specificities were 75.03% and 79.00% respectively. The AUC of the combined diagnosis of PD was 0.898, and the sensitivity and specificity were 85.56% and 85.00% respectively.",Scopus record (abstract)
E067,,10.3760/cma.j.cn371468-20200828-01692,Li J,2021,Chinese Journal of Behavioral Medicine and Brain Science,PD,elderly Parkinson's disease vs age- and sex-matched non-PD elderly,case_vs_healthy_control,serum,single_miRNA,miR-494,single,90,100,0.760,,,0.6111,0.7900,RT-qPCR,yes,,"Added from the Scopus PD arm. Chinese-language article, not indexed in MEDLINE; extraction rests on the Scopus abstract, which reports the ROC results in full. Reports miR-124 in PD serum independently of E063 (different centre, period and cohort size), so the two are separate studies, not a duplicate publication.","The results of ROC showed that the area under curve (AUC) of serum miR-124 and miR-494 in the diagnosis of PD were 0.847 and 0.760 respectively, the cutoff values were 0.901 and 1.126, respectively, the sensitivities were 86.67% and 61.11% respectively, and the specificities were 75.03% and 79.00% respectively. The AUC of the combined diagnosis of PD was 0.898, and the sensitivity and specificity were 85.56% and 85.00% respectively.",Scopus record (abstract)
E068,,10.3760/cma.j.cn371468-20200828-01692,Li J,2021,Chinese Journal of Behavioral Medicine and Brain Science,PD,elderly Parkinson's disease vs age- and sex-matched non-PD elderly,case_vs_healthy_control,serum,multi_miRNA_panel,miR-124 + miR-494,single,90,100,0.898,,,0.8556,0.8500,RT-qPCR,yes,,"Added from the Scopus PD arm. Chinese-language article, not indexed in MEDLINE; extraction rests on the Scopus abstract, which reports the ROC results in full. Reports miR-124 in PD serum independently of E063 (different centre, period and cohort size), so the two are separate studies, not a duplicate publication.","The results of ROC showed that the area under curve (AUC) of serum miR-124 and miR-494 in the diagnosis of PD were 0.847 and 0.760 respectively, the cutoff values were 0.901 and 1.126, respectively, the sensitivities were 86.67% and 61.11% respectively, and the specificities were 75.03% and 79.00% respectively. The AUC of the combined diagnosis of PD was 0.898, and the sensitivity and specificity were 85.56% and 85.00% respectively.",Scopus record (abstract)
E069,,10.19193/0393-6384_2020_3_291,Wu L,2020,Acta Medica Mediterranea,PD,Parkinson's disease vs healthy individuals,case_vs_healthy_control,serum,single_miRNA,miR-9a,single,85,50,,,,0.9059,0.7000,RT-qPCR,yes,,"Added from the Scopus PD arm. Reports sensitivity and specificity for the case-control contrast but no AUC for it, so the estimate cannot be pooled. Journal is indexed in Scopus but not in MEDLINE. No open-access full text.","The ROC curves showed that the sensitivity and specificity of serum miR-9a for PD diagnosis were 90.59% and 70.00%, respectively, those of serum miR-133b were 83.53% and 82.00%, while those of the combined detection were 89.41% and 88.00%, respectively.",Scopus record (abstract)
E070,,10.19193/0393-6384_2020_3_291,Wu L,2020,Acta Medica Mediterranea,PD,Parkinson's disease vs healthy individuals,case_vs_healthy_control,serum,single_miRNA,miR-133b,single,85,50,,,,0.8353,0.8200,RT-qPCR,yes,,"Added from the Scopus PD arm. Reports sensitivity and specificity for the case-control contrast but no AUC for it, so the estimate cannot be pooled. Journal is indexed in Scopus but not in MEDLINE. No open-access full text.","The ROC curves showed that the sensitivity and specificity of serum miR-9a for PD diagnosis were 90.59% and 70.00%, respectively, those of serum miR-133b were 83.53% and 82.00%, while those of the combined detection were 89.41% and 88.00%, respectively.",Scopus record (abstract)
E071,,10.19193/0393-6384_2020_3_291,Wu L,2020,Acta Medica Mediterranea,PD,Parkinson's disease vs healthy individuals,case_vs_healthy_control,serum,multi_miRNA_panel,miR-9a + miR-133b,single,85,50,,,,0.8941,0.8800,RT-qPCR,yes,,"Added from the Scopus PD arm. Reports sensitivity and specificity for the case-control contrast but no AUC for it, so the estimate cannot be pooled. Journal is indexed in Scopus but not in MEDLINE. No open-access full text.","The ROC curves showed that the sensitivity and specificity of serum miR-9a for PD diagnosis were 90.59% and 70.00%, respectively, those of serum miR-133b were 83.53% and 82.00%, while those of the combined detection were 89.41% and 88.00%, respectively.",Scopus record (abstract)
E072,,10.19193/0393-6384_2020_3_291,Wu L,2020,Acta Medica Mediterranea,PD,Hoehn-Yahr stage pairs inside the PD group,within_disease,serum,single_miRNA,miR-9a,single,,,,,,,,RT-qPCR,no,"within-disease contrast (Hoehn-Yahr stage pairs), not PD vs healthy control","Added from the Scopus PD arm. Staging AUCs: 0.855 (stage I vs II), 0.957 (I vs III), 0.872 (II vs III). Recorded so the paper's AUCs are not mistaken for case-control values.","The AUC of miR-9a and miR-133b in distinguishing Hoehn-Yahr stages I and II were 0.855 and 0.839, respectively, that in distinguishing stages I and III were 0.957 and 0.973, and that in distinguishing stages II and III were 0.872 and 0.795 respectively.",Scopus record (abstract)
E073,,10.19193/0393-6384_2020_3_291,Wu L,2020,Acta Medica Mediterranea,PD,Hoehn-Yahr stage pairs inside the PD group,within_disease,serum,single_miRNA,miR-133b,single,,,,,,,,RT-qPCR,no,"within-disease contrast (Hoehn-Yahr stage pairs), not PD vs healthy control","Added from the Scopus PD arm. Staging AUCs: 0.839 (stage I vs II), 0.973 (I vs III), 0.795 (II vs III).","The AUC of miR-9a and miR-133b in distinguishing Hoehn-Yahr stages I and II were 0.855 and 0.839, respectively, that in distinguishing stages I and III were 0.957 and 0.973, and that in distinguishing stages II and III were 0.872 and 0.795 respectively.",Scopus record (abstract)
E074,42492311,10.1016/j.clineuro.2026.109558,Chen P,2026,Clinical Neurology and Neurosurgery,PD,Parkinson's disease vs healthy controls,case_vs_healthy_control,serum,single_miRNA,miR-423-5p,single,83,56,,,,0.8434,0.7679,RT-qPCR,yes,,"Added from the Scopus PD arm. The abstract gives sensitivity and specificity but no AUC, and the full text is access-restricted (checked in PubMed Central and via DOI), so no AUC could be read. Eligible, but not poolable.","A significant downregulation of miR-423–5p was observed in patients with PD compared to healthy controls, which effectively discriminated patients with PD (sensitivity of 84.34% and specificity of 76.79%) from healthy individuals.",PubMed abstract (no open-access full text)
E075,39484776,10.2174/0109298673336756241016063552,Samareh A,2025,Current Medicinal Chemistry,PD,early-stage Parkinson's disease vs healthy individuals,case_vs_healthy_control,blood,multi_miRNA_panel,NEAT1 + let-7a-5p + miR-506-3p,single,24,29,0.9501,0.8978,1.000,,,RT-qPCR,no,"composite model combining two miRNAs with the lncRNA NEAT1, not a miRNA-only panel","Added from the Scopus PD arm. Full text access-restricted, so no separate AUC for let-7a-5p or miR-506-3p alone could be read. The upper confidence bound reaches 1.000 in a 24-versus-29 sample, which is itself a sign of an unstable estimate.","Integration of NEAT1, hsa-let-7a-5p, and miR-506-3p levels significantly enhanced diagnostic capabilities and increased the AUC to 0.9501 (95% confidence interval: 0.8978-1.000, p < .0001).",PubMed abstract (no open-access full text)
E076,,10.1007/s10616-026-00978-w,Zhang N,2026,Cytotechnology,PD,Parkinson's disease vs healthy controls,case_vs_healthy_control,serum,multi_miRNA_panel,miR-338-5p + multi-parameter MRI,single,62,84,0.919,,,,,RT-qPCR + MRI,no,composite model combining miRNA with non-miRNA clinical variables (MRI parameters),"Added from the Scopus PD arm. Full text not retrievable, so no AUC for serum miR-338-5p on its own could be read; only the miRNA-plus-MRI combination is reported in the abstract.","The combination of miR‑338‑5p and multi‑parameter MRI improved diagnostic performance, with an area under the receiver operating characteristic curve (AUC) of 0.919.",Scopus record (abstract)
