pmid,doi,pmcid,year,journal,title,search_arm,article_types,is_review_or_secondary,abstract_reports_auc,abstract_reports_sensitivity,abstract_reports_specificity,carries_quantitative_accuracy,database,pmc_fulltext_available
35111747,10.3389/fcell.2021.755254,PMC8803123,2022,Frontiers in cell and developmental biology,MicroRNA-409-3p Targeting at ATXN3 Reduces the Apoptosis of Dopamine Neurons Based on the Profile of miRNAs in the Cerebrospinal Fluid of Early Parkinson's Disease.,PD,Journal Article,no,no,no,no,no,PubMed,yes
35141392,10.1002/dad2.12251,PMC8817674,2022,"Alzheimer's & dementia (Amsterdam, Netherlands)",Plasma microRNA vary in association with the progression of Alzheimer's disease.,AD,Journal Article,no,no,no,no,no,PubMed,yes
35199307,10.1007/s12031-022-01984-1,,2022,Journal of molecular neuroscience : MN,"Cytokines, miRNAs, and Antioxidants as Combined Non-invasive Biomarkers for Parkinson's Disease.",PD,Journal Article,no,no,no,no,no,PubMed,no
35222718,10.3892/etm.2022.11166,PMC8815048,2022,Experimental and therapeutic medicine,MicroRNA-4722-5p and microRNA-615-3p serve as potential biomarkers for Alzheimer's disease.,AD,Journal Article,no,no,no,no,no,PubMed,yes
35264731,10.1038/s41380-022-01476-z,,2022,Molecular psychiatry,Differential expression of MicroRNAs in Alzheimer's disease: a systematic review and meta-analysis.,AD,Meta-Analysis; Systematic Review; Journal Article,yes,no,no,no,no,PubMed,no
35432916,10.1155/2022/8683877,PMC9007633,2022,Parkinson's disease,Diagnostic Test to Identify Parkinson's Disease from the Blood Sera of Chinese Population: A Cross-Sectional Study.,PD,Journal Article,no,no,no,no,no,PubMed,yes
35447599,10.1016/j.bios.2022.114279,,2022,Biosensors & bioelectronics,miRNA sensing hydrogels capable of self-signal amplification for early diagnosis of Alzheimer's disease.,AD,Journal Article,no,no,no,no,no,PubMed,no
35449079,10.1186/s40035-022-00296-z,PMC9027827,2022,Translational neurodegeneration,Advances in the development of new biomarkers for Alzheimer's disease.,AD,"Journal Article; Review; Research Support, Non-U.S. Gov't",yes,no,no,no,no,PubMed,yes
35488079,10.1007/s12031-022-02012-y,,2022,Journal of molecular neuroscience : MN,Alteration of miRNAs in Small Neuron-Derived Extracellular Vesicles of Alzheimer's Disease Patients and the Effect of Extracellular Vesicles on Microglial Immune Responses.,AD,Journal Article,no,yes,no,no,yes,PubMed,no
35532940,10.1093/gerona/glac106,,2023,"The journals of gerontology. Series A, Biological sciences and medical sciences",Circulating micro-RNAs Differentially Expressed in Korean Alzheimer's Patients With Brain Aβ Accumulation Activate Amyloidogenesis.,AD+PD,"Journal Article; Research Support, Non-U.S. Gov't",no,no,no,no,no,PubMed,no
35563001,10.3390/ijms23094610,PMC9100918,2022,International journal of molecular sciences,Molecular Biomarkers and Their Implications for the Early Diagnosis of Selected Neurodegenerative Diseases.,AD+PD,Journal Article; Review,yes,no,no,no,no,PubMed,yes
35655754,10.3389/fnins.2022.865139,PMC9152100,2022,Frontiers in neuroscience,Plasma miR-153 and miR-223 Levels as Potential Biomarkers in Parkinson's Disease.,PD,Journal Article,no,yes,no,no,yes,PubMed,yes
35752392,10.1016/j.nbd.2022.105800,,2022,Neurobiology of disease,MicroRNA-29c-3p in dual-labeled exosome is a potential diagnostic marker of subjective cognitive decline.,AD,"Journal Article; Multicenter Study; Observational Study; Research Support, Non-U.S. Gov't",no,no,no,no,no,PubMed,no
35962561,10.1002/mds.29171,PMC9804841,2022,Movement disorders : official journal of the Movement Disorder Society,Serum MicroRNAs Predict Isolated Rapid Eye Movement Sleep Behavior Disorder and Lewy Body Diseases.,PD,"Journal Article; Research Support, Non-U.S. Gov't",no,yes,no,no,yes,PubMed,yes
36016853,10.3389/fnagi.2022.933019,PMC9397504,2022,Frontiers in aging neuroscience,"Analysis of ROQUIN, Tristetraprolin (TTP), and BDNF/miR-16/TTP regulatory axis in late onset Alzheimer's disease.",AD,Journal Article,no,no,no,no,no,PubMed,yes
36029998,10.1016/j.arr.2022.101721,,2022,Ageing research reviews,An integrative machine-learning meta-analysis of high-throughput omics data identifies age-specific hallmarks of Alzheimer's disease.,AD,"Journal Article; Meta-Analysis; Review; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",yes,no,no,no,no,PubMed,no
36155067,10.1016/j.exger.2022.111961,,2022,Experimental gerontology,"Sera miR-34a, miR-29b and miR-181c as potential novel diagnostic biomarker panel for Alzheimers in the Egyptian population.",AD,"Journal Article; Research Support, Non-U.S. Gov't",no,yes,yes,yes,yes,PubMed,no
36155522,10.3233/JAD-220676,,2022,Journal of Alzheimer's disease : JAD,Inflammation-Related microRNAs-146a and -155 Are Upregulated in Mild Cognitive Impairment Subjects Among Older Age Population in Montenegro.,AD,"Journal Article; Research Support, Non-U.S. Gov't",no,no,yes,yes,yes,PubMed,no
36251230,10.1007/s11033-022-07987-w,,2022,Molecular biology reports,Potential of hsa-miR200a-3p and hsa-miR502-3p as blood-based biomarker for Alzheimer's disease.,AD,Journal Article,no,no,no,no,no,PubMed,no
36293304,10.3390/ijms232012440,PMC9604297,2022,International journal of molecular sciences,Circulating U13 Small Nucleolar RNA as a Potential Biomarker in Huntington's Disease: A Pilot Study.,AD,Journal Article,no,yes,no,no,yes,PubMed,yes
36318963,10.1021/acs.analchem.2c03542,PMC9670028,2022,Analytical chemistry,Printed Electrochemical Strip for the Detection of miRNA-29a: A Possible Biomarker Related to Alzheimer's Disease.,AD,Journal Article,no,no,no,no,no,PubMed,yes
36348717,10.32607/actanaturae.11729,PMC9611861,2022,Acta naturae,MicroRNA Expression Profile Changes in the Leukocytes of Parkinson's Disease Patients.,PD,Journal Article,no,no,no,no,no,PubMed,yes
36446162,10.1016/j.retram.2022.103367,,2022,Current research in translational medicine,Multiomics and artificial intelligence enabled peripheral blood-based prediction of amnestic mild cognitive impairment.,AD,"Journal Article; Research Support, Non-U.S. Gov't",no,no,no,no,no,PubMed,no
36732514,10.1038/s41531-023-00451-x,PMC9894906,2023,NPJ Parkinson's disease,Differential serum microRNAs in premotor LRRK2 G2019S carriers from Parkinson's disease.,PD,Journal Article,no,yes,no,no,yes,PubMed,yes
36848007,10.1007/s13318-023-00816-w,,2023,European journal of drug metabolism and pharmacokinetics,Neurotherapeutic Effects of Quercetin and Its Metabolite Compounds on Cognitive Impairment and Parkinson's Disease: An In Silico Study.,PD,Journal Article,no,no,no,no,no,PubMed,no
36864382,10.1186/s12864-023-09203-w,PMC9983174,2023,BMC genomics,Construct of qualitative diagnostic biomarkers specific for glioma by pairing serum microRNAs.,AD,Journal Article,no,no,yes,yes,yes,PubMed,yes
36951764,10.1021/acsami.2c21379,,2023,ACS applied materials & interfaces,Dumbbell Aptamer Sensor Based on Dual Biomarkers for Early Detection of Alzheimer's Disease.,AD,Journal Article,no,no,no,no,no,PubMed,no
37001292,10.1016/j.bios.2023.115269,,2023,Biosensors & bioelectronics,Precise profiling of exosomal biomarkers via programmable curved plasmonic nanoarchitecture-based biosensor for clinical diagnosis of Alzheimer's disease.,AD,Journal Article,no,no,no,no,no,PubMed,no
37071449,10.1002/alz.13055,PMC11663460,2023,Alzheimer's & dementia : the journal of the Alzheimer's Association,MicroRNA expression in extracellular vesicles as a novel blood-based biomarker for Alzheimer's disease.,AD,"Journal Article; Research Support, N.I.H., Extramural",no,yes,no,no,yes,PubMed,yes
37121335,10.1016/j.exger.2023.112195,,2023,Experimental gerontology,MicroRNA-511-3p regulates Aβinduced decreased cell viability and serves as a candidate biomarker in Alzheimer's disease.,AD,"Journal Article; Research Support, Non-U.S. Gov't",no,no,no,no,no,PubMed,no
37212072,10.3233/JPD-225080,PMC10357140,2023,Journal of Parkinson's disease,Nomogram for Early Prediction of Parkinson's Disease Based on microRNA Profiles and Clinical Variables.,PD,"Journal Article; Research Support, Non-U.S. Gov't",no,yes,no,no,yes,PubMed,yes
37238734,10.3390/biom13050865,PMC10216839,2023,Biomolecules,Serum and Exosomal miR-7-1-5p and miR-223-3p as Possible Biomarkers for Parkinson's Disease.,PD,"Journal Article; Research Support, Non-U.S. Gov't",no,no,no,no,no,PubMed,yes
37258792,10.1007/s00405-023-08034-5,,2023,European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,Identifying the potential role of serum miR-20a as a biomarker for olfactory dysfunction in patients with Parkinson's disease.,PD,Journal Article,no,yes,no,no,yes,PubMed,no
37329382,10.1007/s12035-023-03391-y,,2023,Molecular neurobiology,miR-218-5p and miR-320a-5p as Biomarkers for Brain Disorders: Focus on the Major Depressive Disorder and Parkinson's Disease.,PD,Journal Article,no,yes,no,no,yes,PubMed,no
37355215,10.1016/j.clinbiochem.2023.110603,,2023,Clinical biochemistry,The microRNA-485-3p concentration in salivary exosome-enriched extracellular vesicles is related to amyloid β deposition in the brain of patients with Alzheimer's disease.,AD,Journal Article,no,yes,no,no,yes,PubMed,no
37382573,10.1002/mds.29515,,2023,Movement disorders : official journal of the Movement Disorder Society,Detection of a Parkinson's Disease-Specific MicroRNA Signature in Nasal and Oral Swabs.,PD,"Journal Article; Research Support, Non-U.S. Gov't",no,no,no,no,no,PubMed,no
37758217,10.1210/clinem/dgad562,,2024,The Journal of clinical endocrinology and metabolism,SIRT1 and miR-34a-5p Expression in PBMCs as Potential Biomarkers for Patients With Type 2 Diabetes With Cognitive Impairments.,AD,"Journal Article; Research Support, Non-U.S. Gov't",no,yes,yes,yes,yes,PubMed,no
37770507,10.1038/s41598-023-43096-9,PMC10539377,2023,Scientific reports,MicroRNAs in Parkinson's disease: a systematic review and diagnostic accuracy meta-analysis.,PD,Meta-Analysis; Systematic Review; Journal Article,yes,yes,yes,yes,yes,PubMed,yes
38033547,10.3389/fnins.2023.1174951,PMC10684698,2023,Frontiers in neuroscience,Circulating plasma miR-23b-3p as a biomarker target for idiopathic Parkinson's disease: comparison with small extracellular vesicle miRNA.,PD,Journal Article,no,yes,no,no,yes,PubMed,yes
38190948,10.1016/j.exger.2023.112355,,2024,Experimental gerontology,The plasma derived exosomal miRNA-483-5p/502-5p serve as potential MCI biomarkers in aging.,AD,"Journal Article; Research Support, Non-U.S. Gov't",no,yes,yes,yes,yes,PubMed,no
38200052,10.1038/s41531-023-00628-4,PMC10781790,2024,NPJ Parkinson's disease,Candidate biomarkers of EV-microRNA in detecting REM sleep behavior disorder and Parkinson's disease.,PD,Journal Article,no,yes,no,no,yes,PubMed,yes
38224658,10.1016/j.talanta.2024.125656,,2024,Talanta,Entropy-driven catalysis-based lateral flow assay for sensitive detection of Alzheimer 's-associated MicroRNA.,AD,Journal Article,no,no,yes,no,no,PubMed,no
38229129,10.1186/s13578-023-01190-5,PMC10790437,2024,Cell & bioscience,Exploring small non-coding RNAs as blood-based biomarkers to predict Alzheimer's disease.,AD,Journal Article,no,yes,no,no,yes,PubMed,yes
38364557,10.1016/j.talanta.2024.125747,,2024,Talanta,A dual-signal amplification strategy based on rolling circle amplification and APE1-assisted amplification for highly sensitive and specific miRNA analysis for early diagnosis of alzheimer's disease.,AD,Journal Article,no,no,yes,no,no,PubMed,no
38417780,10.1016/j.cca.2024.117842,,2024,Clinica chimica acta; international journal of clinical chemistry,New approach for early and specific Alzheimer disease diagnosis from different plasma biomarkers.,AD,Journal Article,no,yes,yes,yes,yes,PubMed,no
38460993,10.1016/j.nrleng.2023.12.011,,2024,Neurologia,The potential diagnostic accuracy of circulating microRNAs for Alzheimer's disease: A meta-analysis.,AD,Journal Article; Meta-Analysis,yes,yes,yes,yes,yes,PubMed,no
38533034,10.1016/j.heliyon.2024.e27757,PMC10963233,2024,Heliyon,Colorimetric and fluorescent dual-biosensor based on zirconium and preasodium metal-organic framework (zr/pr MOF) for miRNA-191 detection.,AD,Journal Article,no,no,no,no,no,PubMed,yes
38542526,10.3390/ijms25063554,PMC10970771,2024,International journal of molecular sciences,Plasma miR-203a-3p as a Novel Predictor of Dementia in Patients with Parkinson's Disease.,PD,Journal Article,no,yes,no,no,yes,PubMed,yes
38618193,10.2147/DNND.S444567,PMC11012623,2024,Degenerative neurological and neuromuscular disease,Serum Exosomal miRNA-125b and miRNA-451a are Potential Diagnostic Biomarker for Alzheimer's Diseases.,AD,Case Reports; Clinical Trial; Journal Article,no,yes,yes,yes,yes,PubMed,yes
38670424,10.1016/j.envpol.2024.124035,,2024,"Environmental pollution (Barking, Essex : 1987)",Microglial exosomes in paraquat-induced Parkinson's disease: Neuroprotection and biomarker clues.,PD,Journal Article,no,no,no,no,no,PubMed,no
38784444,10.3389/fnagi.2024.1388655,PMC11112011,2024,Frontiers in aging neuroscience,Integrative analysis of plasma and substantia nigra in Parkinson's disease: unraveling biomarkers and insights from the lncRNA-miRNA-mRNA ceRNA network.,PD,Journal Article,no,no,no,no,no,PubMed,yes
38848197,10.3233/JPD-230408,PMC11307038,2024,Journal of Parkinson's disease,Using Extracellular miRNA Signatures to Identify Patients with LRRK2-Related Parkinson's Disease.,PD,"Journal Article; Research Support, Non-U.S. Gov't",no,no,yes,yes,yes,PubMed,yes
39069524,10.1007/s10142-024-01409-9,,2024,Functional & integrative genomics,Exploring circular RNAs as biomarkers for Parkinson's disease and their expression changes after aerobic exercise rehabilitation.,PD,Journal Article; Review,yes,no,no,no,no,PubMed,no
39076088,10.2174/0115672050319219240711103459,,2025,Current Alzheimer research,"Alzheimer's Disease and Vascular Dementia, Connecting and Differentiating Features.",AD+PD,Journal Article; Review,yes,no,no,no,no,PubMed,no
39273436,10.3390/ijms25179490,PMC11394956,2024,International journal of molecular sciences,A New Strategy for Ultrasensitive Detection Based on Target microRNA-Triggered Rolling Circle Amplification in the Early Diagnosis of Alzheimer's Disease.,AD,Journal Article,no,no,no,no,no,PubMed,yes
39280119,10.1093/braincomms/fcae268,PMC11398878,2024,Brain communications,A microRNA diagnostic biomarker for amyotrophic lateral sclerosis.,PD,Journal Article,no,yes,yes,yes,yes,PubMed,yes
39340541,10.1007/s00415-024-12699-1,PMC11588799,2024,Journal of neurology,"Exploiting the role of CSF NfL, CHIT1, and miR-181b as potential diagnostic and prognostic biomarkers for ALS.",AD,Journal Article; Multicenter Study,no,no,no,no,no,PubMed,yes
39456697,10.3390/ijms252010911,PMC11507237,2024,International journal of molecular sciences,Blood-Based Biomarkers in Alzheimer's Disease: Advancing Non-Invasive Diagnostics and Prognostics.,AD,Journal Article; Review,yes,no,no,no,no,PubMed,yes
39490904,10.1016/j.arr.2024.102556,,2024,Ageing research reviews,Epigenetic biomarkers in Alzheimer's disease: Diagnostic and prognostic relevance.,AD,Journal Article; Review,yes,no,no,no,no,PubMed,no
39552415,10.1080/07853890.2024.2425064,PMC11574951,2024,Annals of medicine,Identification of copper metabolism-related markers in Parkinson's disease.,PD,Journal Article,no,no,no,no,no,PubMed,yes
39589986,10.3390/bios14110527,PMC11592054,2024,Biosensors,Enzyme-Assisted Fluorescence Biosensor Based on Circular Single-Stranded DNA Without Group Modification for MicroRNA Detection.,AD,Journal Article,no,no,yes,no,no,PubMed,yes
39607300,10.1021/acs.analchem.4c05865,,2024,Analytical chemistry,Blood Screening of Femtomole Level Multiple Alzheimer's Disease Biomarkers by Metal Isotopic DNA Walkers.,AD,"Journal Article; Research Support, Non-U.S. Gov't",no,no,no,no,no,PubMed,no
39662006,10.7754/Clin.Lab.2024.240639,,2024,Clinical laboratory,MiR-19b-3p Serves as a Potential Diagnostic Biomarker for Parkinson's Disease.,PD,Journal Article,no,yes,no,no,yes,PubMed,no
39690374,10.1111/dom.16121,,2024,"Diabetes, obesity & metabolism",Identification of adipose tissue-derived exosomal microRNA as a novel causal biomarker for cognitive impairment in type 2 diabetes mellitus: Triangulating evidence from Mendelian randomization and multicentre population studies.,AD,Journal Article; Multicenter Study; Validation Study,no,yes,no,no,yes,PubMed,no
39920860,10.1186/s40001-025-02297-w,PMC11806906,2025,European journal of medical research,Bioinformatics insights into mitochondrial and immune gene regulation in Alzheimer's disease.,AD+PD,Journal Article,no,no,no,no,no,PubMed,yes
40057850,10.1021/acs.analchem.4c02619,PMC11923972,2025,Analytical chemistry,Electrochemical Biosensors for the Detection of Exosomal microRNA Biomarkers for Early Diagnosis of Neurodegenerative Diseases.,AD+PD,"Journal Article; Review; Research Support, Non-U.S. Gov't",yes,no,no,no,no,PubMed,yes
40122399,10.1016/j.arr.2025.102736,,2025,Ageing research reviews,Advanced biomarkers: Beyond amyloid and tau: Emerging non-traditional biomarkers for alzheimer`s diagnosis and progression.,AD,Journal Article; Review,yes,no,no,no,no,PubMed,no
40183359,10.1177/1877718X251331930,PMC13347464,2025,Journal of Parkinson's disease,Identification of a circRNA-miRNA-mRNA interactome associated with Parkinson's disease progression.,PD,Journal Article,no,no,no,no,no,PubMed,yes
40313118,10.4103/NRR.NRR-D-24-01262,PMC12407533,2025,Neural regeneration research,"Brain-derived extracellular vesicles: A promising avenue for Parkinson's disease pathogenesis, diagnosis, and treatment.",PD,Journal Article,yes,no,no,no,no,PubMed,yes
40316481,10.1016/j.tjpad.2025.100193,PMC12321630,2025,The journal of prevention of Alzheimer's disease,Value of blood neural cell-derived small extracellular vesicles in the diagnosis and prediction of Alzheimer's disease: A systematic review.,AD,Journal Article; Systematic Review,yes,no,no,no,no,PubMed,yes
40392273,10.1007/s00702-025-02930-2,,2025,"Journal of neural transmission (Vienna, Austria : 1996)",Fluid biomarkers in atypical Parkinsonism: current state and future perspectives.,AD+PD,Journal Article; Review,yes,no,no,no,no,PubMed,no
40435698,10.1016/j.clineuro.2025.108969,,2025,Clinical neurology and neurosurgery,Circulating miR-425 can be a biomarker for depression in patients with Parkinson's disease.,PD,Journal Article,no,yes,no,no,yes,PubMed,no
40547480,10.3389/fnmol.2025.1588007,PMC12179099,2025,Frontiers in molecular neuroscience,Non-invasive biomarkers for brain aging: the role of autophagy-related microRNAs in plasma exosomes.,AD+PD,Journal Article,no,yes,no,no,yes,PubMed,yes
40581531,10.1016/j.tjpad.2025.100257,PMC12413721,2025,The journal of prevention of Alzheimer's disease,Early detection of Alzheimer's disease using small RNAs. Results from the EPAD cohort.,AD,Journal Article; Multicenter Study,no,yes,no,no,yes,PubMed,yes
40584439,10.22038/ijbms.2025.85350.18446,PMC12203828,2025,Iranian journal of basic medical sciences,Non-coding RNAs as key players in neurodegeneration and brain tumors: Insights into therapeutic strategies.,AD,Journal Article; Review,yes,no,no,no,no,PubMed,yes
40630682,10.1039/d5ra02993g,PMC12235723,2025,RSC advances,Profiling characteristics of plasma exosomal miRNAs across cognitive stages: from normalcy to mild cognitive impairment and Alzheimer's disease.,AD,Journal Article,no,no,no,no,no,PubMed,yes
40661348,10.1101/2025.06.06.656900,PMC12258949,2025,bioRxiv : the preprint server for biology,Brain-derived extracellular vesicle microRNAs in Lewy body and Alzheimer's disease.,AD,Journal Article; Preprint,no,yes,no,no,yes,PubMed,yes
40744011,10.1016/j.crmeth.2025.101116,PMC12461629,2025,Cell reports methods,AAV vectors for specific and efficient gene expression in microglia.,AD,Journal Article,no,no,no,yes,no,PubMed,yes
40783152,10.1016/j.cca.2025.120542,,2025,Clinica chimica acta; international journal of clinical chemistry,Exosomal microRNA biomarkers in Alzheimer's disease: Systematic review and meta-analysis.,AD,Journal Article; Meta-Analysis; Systematic Review,yes,yes,no,no,yes,PubMed,no
40813311,10.1039/d5cc02469b,,2025,"Chemical communications (Cambridge, England)",Recent advances in nanomaterial-based biosensors for Alzheimer's disease diagnosis: a review.,AD,Journal Article; Review,yes,no,no,no,no,PubMed,no
40848338,10.1016/j.bios.2025.117855,,2025,Biosensors & bioelectronics,ECL-CRISPR array for multiplexed detection of miRNAs.,AD,Journal Article,no,no,no,no,no,PubMed,no
41197132,10.1177/13872877251387584,,2025,Journal of Alzheimer's disease : JAD,Mitochondrial energy metabolism and Alzheimer's disease: Identifying key differentially expressed genes in blood.,AD,"Journal Article; Research Support, Non-U.S. Gov't",no,no,no,no,no,PubMed,no
41351434,10.1080/01677063.2025.2591630,,2025,Journal of neurogenetics,Serum LncRNA XIST and miR-133b as non-invasive biomarkers for diagnosis and progression of Parkinson's disease.,PD,Journal Article,no,yes,no,no,yes,PubMed,no
41373032,10.1186/s13104-025-07604-6,PMC12802125,2025,BMC research notes,Plasma expression levels of microRNA-101 are downregulated in patients with Parkinson's disease.,PD,Journal Article,no,yes,yes,yes,yes,PubMed,yes
41373439,10.3390/ijms262311279,PMC12692357,2025,International journal of molecular sciences,Monomeric [CRP] and CRP-Controlled Stress and Pain Hypersensitization as Novel Predictors of Cognitive Disturbance and AD in Chronic Inflammatory Disease.,AD,Journal Article; Review,yes,no,no,no,no,PubMed,yes
41383243,10.3389/fneur.2025.1704976,PMC12689404,2025,Frontiers in neurology,Cross-species validation of a 6-miRNA blood signature for Parkinson's disease: from MPTP mice to human PBMC and serum exosomes.,PD,Journal Article,no,yes,no,no,yes,PubMed,yes
41572495,10.1111/jnc.70323,PMC12828110,2026,Journal of neurochemistry,Extracellular Vesicle-Derived microRNAs as Fluid Biomarkers in Neurodegenerative Diseases: A Systematic Review.,AD+PD,Journal Article; Systematic Review,yes,no,no,no,no,PubMed,yes
41588889,10.2174/0115672050421604251108045622,,2026,Current Alzheimer research,Targeting Non-coding RNAs in Neurodegeneration: Advances in Therapeutic RNA Modalities and Next-Gen Delivery Technologies.,AD+PD,Journal Article; Review,yes,no,no,no,no,PubMed,no
41589493,10.2174/0122115366411857251025004952,,2026,"MicroRNA (Shariqah, United Arab Emirates)","Correlation of miR-214, miR-204, miR-25, miR-15a Expression with IL-33 and Malondialdehyde in Blood Samples from Patients with Alzheimer's Disease.",AD,Journal Article,no,no,no,no,no,PubMed,no
41599691,10.3390/ph19010092,PMC12844880,2026,"Pharmaceuticals (Basel, Switzerland)",The Expanding Role of Non-Coding RNAs in Neurodegenerative Diseases: From Biomarkers to Therapeutic Targets.,AD+PD,Journal Article; Review,yes,no,no,no,no,PubMed,yes
41606222,10.1007/s12035-026-05681-7,,2026,Molecular neurobiology,Up-regulated miR-4443 Holds Diagnostic Significance for Parkinson's Disease and may be Involved in Neuroinflammation.,PD,Journal Article,no,no,no,no,no,PubMed,no
41620770,10.1186/s13195-026-01977-x,PMC12954934,2026,Alzheimer's research & therapy,An RNA biomarker panel for the diagnosis of Alzheimer's disease from whole blood.,AD,Journal Article,no,no,no,yes,no,PubMed,yes
41661182,10.1097/YPG.0000000000000411,,2026,Psychiatric genetics,The clinical significance of miR-484 in depression of older people with Alzheimer's disease and its potential role on depressive behavior.,AD,Journal Article,no,no,no,no,no,PubMed,no
41699353,10.1007/s12035-025-05620-y,PMC12909424,2026,Molecular neurobiology,Deregulation of Synaptic Plasticity-Related MicroRNAs After Repetitive Transcranial Magnetic Stimulation in Alzheimer's Disease.,AD,Journal Article; Randomized Controlled Trial,no,no,no,no,no,PubMed,yes
41773883,10.1097/WAD.0000000000000710,,2026,Alzheimer disease and associated disorders,Serum Expression of miR-106b-3p and Its Diagnostic Significance in Alzheimer Disease.,AD,Journal Article,no,no,no,no,no,PubMed,no
41822037,10.1212/NXG.0000000000200366,PMC12978147,2026,Neurology. Genetics,Plasma isomiRs as Candidate Biomarkers for Amyotrophic Lateral Sclerosis.,AD+PD,Journal Article,no,yes,no,no,yes,PubMed,yes
41836608,10.1038/s44328-026-00086-x,PMC12982126,2026,Npj biosensing,Microfluidic nanomagnetically isolated neuron- and astrocyte-derived extracellular vesicles to differentiate Lewy body and Alzheimer's disease.,AD,Journal Article,no,yes,no,no,yes,PubMed,yes
41977439,10.3390/ijms27073260,PMC13073327,2026,International journal of molecular sciences,Targeting Non-Coding RNAs as a Potential Therapeutic and Delivery Strategy Against Neurodegenerative Diseases.,AD+PD,Journal Article; Review,yes,no,no,no,no,PubMed,yes
42004890,10.1002/trc2.70211,PMC13088148,2026,"Alzheimer's & dementia (New York, N. Y.)",The multifaceted roles of the transcription factorin the pathogenesis of Alzheimer's disease: From molecular regulation to therapeutic targets.,AD,Journal Article; Review,yes,no,no,no,no,PubMed,yes
42010706,10.1186/s13195-026-02048-x,PMC13227807,2026,Alzheimer's research & therapy,Literature-derived serum miRNA signatures associated with cognitive decline in Alzheimer's disease: integrated analysis and machine learning-based diagnostic modeling.,AD,"Journal Article; Research Support, Non-U.S. Gov't",no,yes,yes,yes,yes,PubMed,yes
42023459,10.62641/aep.v54i2.2109,PMC13180692,2026,Actas espanolas de psiquiatria,The Role of Exosome-miRNA as Biomarkers of Alzheimer's Disease: A Systematic Review of Case-Control and Longitudinal Studies.,AD,Journal Article; Systematic Review,yes,no,no,no,no,PubMed,yes
42056645,10.1007/s00604-026-08040-4,,2026,Mikrochimica acta,Electrochemical detection of miRNA-128 in Alzheimer's disease using (3-aminopropyl) triethoxysilane and citrate-capped green-synthesized silver nanoparticles.,AD,"Journal Article; Research Support, Non-U.S. Gov't",no,no,yes,no,no,PubMed,no
42063169,10.1186/s13062-026-00819-y,PMC13274201,2026,Biology direct,Discovering non-linear dynamics of miRNAs in Alzheimer's disease-related cognitive impairment: a cross-species approach with explainable machine learning.,AD,"Journal Article; Validation Study; Research Support, Non-U.S. Gov't",no,yes,no,no,yes,PubMed,yes
42078262,10.7759/cureus.106323,PMC13135322,2026,Cureus,Biomarkers in the Early Detection of Dementia: A Systematic Review.,AD,Journal Article; Review,yes,no,no,no,no,PubMed,yes
42127435,10.1016/j.saa.2026.128045,,2026,"Spectrochimica acta. Part A, Molecular and biomolecular spectroscopy",Quantum dot-enhanced tunable FRET nanosensor for Alzheimer's-associated dual miR-34 detection.,AD,Journal Article,no,no,no,no,no,PubMed,no
42162905,10.1016/j.cca.2026.121094,,2026,Clinica chimica acta; international journal of clinical chemistry,Exosomal miRNA in cerebrospinal fluid as biomarkers for neurodegenerative disease.,AD+PD,Journal Article; Review,yes,no,no,no,no,PubMed,no
42215422,10.1080/17410541.2026.2678221,,2026,Personalized medicine,Association between microRNA 155 gene polymorphism and sporadic Parkinson's disease.,PD,Journal Article,no,no,no,no,no,PubMed,no
42229706,10.1016/j.cca.2026.121130,,2026,Clinica chimica acta; international journal of clinical chemistry,Platelet-derived extracellular vesicles as neurodegenerative disease biomarkers.,AD+PD,Journal Article; Review,yes,no,no,no,no,PubMed,no
42251967,10.1016/j.nbd.2026.107473,,2026,Neurobiology of disease,PBMC DEG/miRNA biomarkers of TDP-43 pathology in ALS.,PD,Journal Article,no,yes,no,no,yes,PubMed,no
42337584,10.1186/s12951-026-04707-5,,2026,Journal of nanobiotechnology,Development of a rapid and simple Xeno Nucleic Acid (XNA) sensor-based microRNA detection platform for Parkinson's disease diagnostics.,PD,Journal Article,no,no,no,no,no,PubMed,no
42346280,10.3390/diseases14060187,PMC13297976,2026,"Diseases (Basel, Switzerland)",Gastric Juice miR-106a-5p as a Non-Invasive Biomarker of Neuroinflammation and Neurodegeneration: A Prospective Observational Study.,AD,Journal Article,no,yes,no,no,yes,PubMed,yes
42389429,10.1515/jtim-2026-0038,PMC13320530,2026,Journal of translational internal medicine,Development of a serum-based microRNA panel for Alzheimer's disease diagnosis.,AD,Journal Article,no,yes,no,no,yes,PubMed,yes
42415371,10.1111/jnc.70519,PMC13342485,2026,Journal of neurochemistry,PBMC circRNA Profiles Distinguish Atypical From Idiopathic Parkinsonism and Track Clinical Severity Across Syndromes.,PD,Journal Article,no,no,no,no,no,PubMed,yes
42446817,10.1007/s12035-026-06045-x,,2026,Molecular neurobiology,Circulating microRNAs as Promising Biomarkers in Parkinson's Disease.,PD,Journal Article,no,no,yes,no,no,PubMed,no
42527713,10.1007/s12017-026-08941-w,,2026,Neuromolecular medicine,LncRNA DLX6-AS1 Regulates the Pathological Process Related to Alzheimer's Disease via miR-204-5p.,AD,Journal Article,no,yes,no,no,yes,PubMed,no
